,subject,session,scan,site,bg_mean,bg_size,bg_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,snr
1318,25434,session_4,rest_1,HNU_1,57.718561776,144829,136.5936367832,0.4259099695,131.079309733,1662.761503915,31299,342.3387040354,2.4410925141,2.3046923636,2.6580625455,2.3745087569,-0.00163539,0.0130558,,12.1730524428
1319,25434,session_2,rest_1,HNU_1,55.0467960423,145156,132.1223025388,0.4217361872,139.4311163201,1656.0140590069,30972,337.1428354202,2.4787105356,2.3301527273,2.6655767273,2.4518940489,-0.000367186,0.0111162,,12.5339479194
1320,25435,session_5,rest_1,HNU_1,57.1128056448,146503,146.6178152875,0.4160272227,113.7078506547,1649.7603677081,29625,305.2921522785,2.3254851279,2.2472145455,2.4366254545,2.2967175826,0.00310457,0.00244616,,11.2521139704
1321,25435,session_6,rest_1,HNU_1,59.144023293,145871,152.7938953088,0.4187816985,115.6061859475,1732.3728659537,30257,319.1816762896,2.3071140792,2.1960552727,2.4018705455,2.3281705229,-0.000122971,0.00524606,,11.3379717328
1322,25435,session_10,rest_1,HNU_1,56.1818354256,146345,145.0841914757,0.4158803315,116.8365890696,1653.7220392991,29783,304.8673790335,2.364379079,2.2396130909,2.4810850909,2.378679345,0.00152781,0.00194495,,11.3983613409
1323,25435,session_3,rest_1,HNU_1,56.4993070418,146130,146.6259591725,0.4180058237,111.1213511211,1629.461839556,29998,297.0288798988,2.3498825346,2.2346821818,2.4457425455,2.3741705216,0.000623863,0.002714,,11.1130515275
1324,25435,session_9,rest_1,HNU_1,60.5205263441,146008,153.7373230963,0.4216040814,106.6449979331,1679.6492275481,30120,299.4410045256,2.2667485757,2.170976,2.361312,2.2719675833,0.000656868,-4.65014E-005,,10.9254486401
1325,25435,session_8,rest_1,HNU_1,55.4324517157,146310,141.7647378803,0.4171956101,115.8182566241,1612.367372483,29818,288.8077854892,2.2644945309,2.1535214545,2.3753541818,2.2700528775,0.00187157,-0.000891274,,11.3735432139
1326,25435,session_1,rest_1,HNU_1,59.2912038289,146211,148.2809232713,0.4202831197,113.3408140595,1675.0010189022,29917,290.7345442855,2.2439570298,2.1422807273,2.353184,2.2413617018,-0.00112875,-0.000293614,,11.2961329209
1327,25435,session_7,rest_1,HNU_1,56.1638635192,146230,147.1358517339,0.4160773584,113.7192521745,1651.9732752162,29898,302.0396961611,2.3250033697,2.2170385455,2.4546123636,2.3094822882,0.0017157,-0.000988253,,11.2275373796
1328,25435,session_4,rest_1,HNU_1,59.4442411292,146371,147.5378471707,0.4194375559,113.1193738774,1663.1907163214,29757,308.9748399778,2.3456605803,2.242048,2.4570501818,2.3428058166,0.000618218,0.00175186,,11.272976719
1329,25435,session_2,rest_1,HNU_1,59.1679578137,146622,151.8690443236,0.4155362688,113.6774623373,1709.7861961588,29506,310.0532733933,2.2927606025,2.1865629091,2.4034501818,2.2933969945,0.00254913,-0.000227411,,11.2582929838
