,Unnamed: 0,subject,session,scan,site,dvars,mean_fd,num_fd,outlier,perc_fd,quality,gcor
47,47,3032,session_1,rest_2,BMB_1,1.2552221722,0.1119168456,0,0.00155965,0,0.0074361793,0.0221578221
46,46,3032,session_1,rest_1,BMB_1,1.241337687,0.1233172439,0,0.0006143,0,0.0052215774,0.0378891642
48,48,3033,session_1,rest_1,BMB_1,1.2682976779,0.0475712108,0,0.00284495,0,0.0047553234,0.0401465768
49,49,3033,session_1,rest_2,BMB_1,1.2177555864,0.0464872041,0,0.0008093,0,0.0039137438,0.0450463041
51,51,3034,session_1,rest_2,BMB_1,1.1759082102,0.0506595072,0,0.0043984,0,0.00719992,0.0092352315
50,50,3034,session_1,rest_1,BMB_1,1.2295466907,0.0350459217,0,0.0008413,0,0.0044514223,0.0183906613
52,52,3036,session_1,rest_1,BMB_1,1.0730670763,0.0444180961,0,0.00073425,0,0.0030910808,0.0443069417
53,53,3036,session_1,rest_2,BMB_1,1.1198314782,0.0759509511,0,0.00055495,0,0.0039851193,0.0466151151
55,55,3037,session_1,rest_2,BMB_1,1.2069084426,0.0928128727,0,0.0009005,0,0.0047734855,0.0104931171
54,54,3037,session_1,rest_1,BMB_1,1.2465482608,0.1124330217,0,0.0014006,0,0.0048674687,0.0175252125
57,57,3038,session_1,rest_2,BMB_1,1.078437394,0.1129017847,0,0.0039588,0,0.012929407,0.0156501794
56,56,3038,session_1,rest_1,BMB_1,1.1619752406,0.0896175347,0,0.0013107,0,0.0077145856,0.020150365
59,59,3039,session_1,rest_2,BMB_1,1.237102723,0.0773767906,0,0.0006826,0,0.0035870156,0.0236827175
58,58,3039,session_1,rest_1,BMB_1,1.2069961824,0.0979403306,0,0.00043975,0,0.0041504234,0.0252686553
60,60,3040,session_1,rest_1,BMB_1,1.0380447913,0.0785950966,0,0.00045795,0,0.0080550647,0.0247525825
61,61,3040,session_1,rest_2,BMB_1,1.1559298421,0.0520412084,0,0.00093095,0,0.0033949069,0.0258590085
63,63,3041,session_1,rest_2,BMB_1,1.1477382867,0.0162719454,0,0.00064645,0,0.0033120053,0.0145899584
62,62,3041,session_1,rest_1,BMB_1,1.1689961436,0.018664239,0,0.0010471,0,0.0038755682,0.0210197502
65,65,3042,session_1,rest_2,BMB_1,1.1252565633,0.0726445365,0,0.00059795,0,0.0064057007,0.0172087436
64,64,3042,session_1,rest_1,BMB_1,1.1025436943,0.0962232754,0,0.0005386,0,0.0056000791,0.0334809517
66,66,3044,session_1,rest_1,BMB_1,1.1534265674,0.0367831669,0,0.00053175,0,0.0076876208,0.0208082709
67,67,3044,session_1,rest_2,BMB_1,1.3028670881,0.0471409614,1,0.0106006,0.4975124378,0.0071817991,0.0325033499
68,68,3045,session_1,rest_1,BMB_1,1.1960172138,0.0910084555,0,0.0013303,0,0.0075654256,0.0156735274
69,69,3045,session_1,rest_2,BMB_1,1.2512929743,0.0654439504,0,0.00043395,0,0.0041855727,0.0245532817
71,71,3047,session_1,rest_2,BMB_1,1.0460905237,0.0442921524,0,0.003004,0,0.0082302288,0.0209063928
70,70,3047,session_1,rest_1,BMB_1,1.0523075083,0.0211618491,0,0.0016858,0,0.0047543827,0.0243423107
72,72,3049,session_1,rest_1,BMB_1,1.0766836884,0.0915077741,0,0.0035391,0,0.0088608512,0.0119080765
73,73,3049,session_1,rest_2,BMB_1,1.1468848934,0.0796848285,0,0.0030921,0,0.0045622777,0.0225276134
74,74,3050,session_1,rest_1,BMB_1,1.081601446,0.032020588,0,0.00239265,0,0.0079202018,0.0139533859
75,75,3050,session_1,rest_2,BMB_1,1.2334497809,0.0332992918,0,0.0007405,0,0.003881299,0.0217012851
77,77,3051,session_1,rest_1,BMB_1,1.2631676639,0.0284267545,0,0.0007075,0,0.0041911821,0.0155857386
79,79,3051,session_1,rest_3,BMB_1,1.1797168313,0.0249723559,0,0.00094605,0,0.0061877827,0.0264376835
78,78,3051,session_1,rest_2,BMB_1,1.2326540893,0.0290523046,0,0.0011362,0,0.0042802367,0.0594863292
76,76,3051,session_1,rest_4,BMB_1,1.1920359799,0.0404885579,0,0.00133745,0,0.0051185718,0.093668321
81,81,3052,session_1,rest_1,BMB_1,1.0947691303,0.036570727,0,0.0009635,0,0.0040750667,0.0958608697
80,80,3052,session_1,rest_4,BMB_1,1.0462415702,0.0521417623,0,0.00093055,0,0.0060888636,0.1393119498
83,83,3052,session_1,rest_3,BMB_1,1.0334475448,0.0504856558,0,0.0004683,0,0.0053563325,0.1555268335
82,82,3052,session_1,rest_2,BMB_1,1.0663535674,0.0410152762,0,0.0010165,0,0.0046285784,0.1750696021
85,85,3054,session_1,rest_1,BMB_1,1.138572058,0.0365717785,0,0.0004293,0,0.0070645834,0.0193931054
87,87,3054,session_1,rest_3,BMB_1,1.2083978651,0.0467950541,0,0.0022067,0,0.0062594775,0.0269775363
86,86,3054,session_1,rest_2,BMB_1,1.0467467543,0.056164316,0,0.00297745,0,0.0111480126,0.0736337162
84,84,3054,session_1,rest_4,BMB_1,1.201040247,0.0660560046,0,0.0104718,0,0.0077297113,0.0875021167
89,89,3055,session_1,rest_1,BMB_1,1.2077290112,0.1033480674,0,0.00506555,0,0.0116746558,0.0966892058
90,90,3055,session_1,rest_2,BMB_1,1.2156265639,0.0781953807,0,0.00179185,0,0.0090996488,0.1455649533
88,88,3055,session_1,rest_4,BMB_1,1.2046206316,0.0848151639,0,0.00229145,0,0.0090032722,0.1492032906
91,91,3055,session_1,rest_3,BMB_1,1.1720461963,0.0871697939,0,0.00197935,0,0.0106880051,0.1998399592
94,94,3056,session_1,rest_2,BMB_1,1.3109336819,0.0696754948,0,0.00692665,0,0.0067130841,0.0339553819
93,93,3056,session_1,rest_1,BMB_1,1.13485317,0.0805074919,0,0.00097895,0,0.007592084,0.0403741581
95,95,3056,session_1,rest_3,BMB_1,1.2766820749,0.0966165642,0,0.00283945,0,0.0053918014,0.0420800951
92,92,3056,session_1,rest_4,BMB_1,1.2306392428,0.0731657018,0,0.0019914,0,0.0071027515,0.0486744227
96,96,3057,session_1,rest_4,BMB_1,1.1695178165,0.0233201863,0,0.00180865,0,0.0045928678,0.0188402037
97,97,3057,session_1,rest_1,BMB_1,1.1446247156,0.0370813781,0,0.00104145,0,0.0062515902,0.0342748175
99,99,3057,session_1,rest_3,BMB_1,1.2262087048,0.051154129,0,0.0043996,0,0.0044839844,0.0484047403
98,98,3057,session_1,rest_2,BMB_1,1.1459749688,0.0450029327,0,0.0013762,0,0.0055852495,0.0578240752
101,101,3059,session_1,rest_1,BMB_1,1.2096870172,0.06266298,0,0.0024111,0,0.0037330731,0.0443571753
102,102,3059,session_1,rest_2,BMB_1,1.1587045021,0.0508317597,0,0.0025379,0,0.0049775657,0.1049859314
100,100,3059,session_1,rest_4,BMB_1,1.1288700925,0.0362847676,0,0.00046615,0,0.0056545545,0.1422926493
103,103,3059,session_1,rest_3,BMB_1,1.0526561394,0.0432372332,0,0.0005173,0,0.0069765722,0.2224978519
104,104,3060,session_1,rest_1,BMB_1,1.1409540606,0.0798131473,0,0.0008116,0,0.0043097052,0.020533581
105,105,3060,session_1,rest_2,BMB_1,1.2070335363,0.0622803782,0,0.0005215,0,0.0033561839,0.0278091109
106,106,3061,session_1,rest_1,BMB_1,1.1165455747,0.0302139027,0,0.00053715,0,0.0036701684,0.0216042754
107,107,3061,session_1,rest_2,BMB_1,1.0869783715,0.0379159217,0,0.0007283,0,0.0043341432,0.0239557401
111,111,3062,session_1,rest_3,BMB_1,1.3162331162,0.0645805111,0,0.0036446,0,0.0056565042,0.0360847917
108,108,3062,session_1,rest_4,BMB_1,1.2138317998,0.0709386395,0,0.00185065,0,0.0051484106,0.0377921002
109,109,3062,session_1,rest_1,BMB_1,1.1434342338,0.0809147524,0,0.0022928,0,0.0095597822,0.0441611597
110,110,3062,session_1,rest_2,BMB_1,1.1704027053,0.0569764399,0,0.00069165,0,0.0039519269,0.0545045055
115,115,3063,session_1,rest_3,BMB_1,1.1984895529,0.1093075204,0,0.0008855,0,0.0037818176,0.0252329321
114,114,3063,session_1,rest_2,BMB_1,1.1783161323,0.1006079947,0,0.0007686,0,0.00476785,0.0633922256
113,113,3063,session_1,rest_1,BMB_1,1.2117643342,0.089836451,0,0.00182985,0,0.0039664801,0.0684412636
112,112,3063,session_1,rest_4,BMB_1,1.1630149454,0.079012411,0,0.0009703,0,0.0041925041,0.0828999944
117,117,3064,session_1,rest_1,BMB_1,1.2735219707,0.0473900561,0,0.00223955,0,0.0072999852,0.0180292698
119,119,3064,session_1,rest_3,BMB_1,1.2484817707,0.0596054441,0,0.0018898,0,0.0065944662,0.0182729798
116,116,3064,session_1,rest_4,BMB_1,1.1999373031,0.0618839771,0,0.0015422,0,0.008001076,0.0267126792
118,118,3064,session_1,rest_2,BMB_1,1.2639375148,0.0577622558,0,0.00049885,0,0.0050132556,0.0364236664
125,125,21001,session_2,rest_1400_1,NKI_1,1.1404072694,0.1288851029,0,0.0020259801,0,0.0053340859,0.0218226228
120,120,21001,session_1,rest_2500_1,NKI_1,1.1650933765,0.0543834984,0,0.0032491667,0,0.003617095,0.0236561698
