,subject,session,scan,site,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
1403,25629,session_1,anat_1,SWU_4,1.7218122071,5672719,5.7061527181,14.5549443614,152.3351016177,270130,35.9449624588,0.40920415,991.5011666189,116.9871874036,5861617,146.9232102031,5.46161,5.19736,5.5067,5.69231,238.4706334896,544634,27.9304318865,0.0705679234,20.5019376773,321.5233688196,470135,28.4248361156
1404,25629,session_2,anat_1,SWU_4,2.8643867582,4472760,5.9503777572,14.2602723326,158.783424199,273664,37.2967846929,0.4894456904,1156.2936775653,149.8135754539,7061576,167.595671279,5.18083,4.61503,5.02596,5.9952,249.1381225408,528118,28.9786951252,0.2119856643,25.1771537149,333.9921298396,469749,28.9766550509
1405,25630,session_1,anat_1,SWU_4,2.6141365047,5787305,9.841815699,11.1581915691,212.551405694,263891,50.3050817341,0.4060063913,586.2750641174,154.1313162595,5747031,192.4410948692,6.03273,5.92864,5.92242,6.25298,323.7787534441,590138,38.6362047016,0.1208396654,15.6608618749,433.5956184006,521636,41.7816609679
1406,25630,session_2,anat_1,SWU_4,2.8672026148,5353509,9.8468563037,10.7756730928,201.2505768415,257003,46.4641203893,0.4029529275,476.0932030369,133.7763417555,6180827,179.3898240714,6.28843,6.09268,6.18774,6.59608,309.0083558839,601612,36.6555827547,0.1315296192,13.5856904609,415.1148604047,524158,39.8992790904
1407,25631,session_1,anat_1,SWU_4,2.4298146666,5434752,8.8903027674,10.5695395974,172.872447937,322974,50.023989482,0.4090939483,407.5686299705,113.6939681834,6099584,147.2555598048,6.33054,6.26322,6.29432,6.4354,270.234224904,627619,33.2071148218,0.1034659907,12.7885372589,364.2006320363,531615,35.5808511855
1408,25631,session_2,anat_1,SWU_4,2.4799712941,5246028,9.0374185543,10.4292897349,178.2189981761,314167,47.5242170579,0.4093529011,412.4706532802,114.7796554579,6288308,151.7935662747,6.20597,6.13877,6.10893,6.37357,277.1402275738,632586,32.3471427595,0.1039435931,12.7004912707,371.3940841322,527598,34.2435082272
1409,25632,session_1,anat_1,SWU_4,2.9792506031,4944105,6.2629814054,14.3072000859,181.6663190208,254090,53.9306944287,0.4887103877,857.0755052633,140.508883356,6590231,146.960392546,5.76313,5.3617,5.4918,6.50067,267.8001294735,542196,33.5590201221,0.123402719,22.4348236505,357.4058575741,502563,36.7697939934
1410,25632,session_2,anat_1,SWU_4,1.3890303038,4944432,2.8031816207,29.4569394043,165.9547673773,252340,44.6130477688,0.3892238698,2431.0178487756,87.1467273161,6589904,126.4664364415,6.5516803905,6.4944503871,6.6225003947,6.53874,247.4946145825,538027,29.7956573155,0.0558901407,31.08850553,330.067765722,498792,31.8028764989
1411,25633,session_1,anat_1,SWU_4,1.9305623571,5122882,3.8247253216,28.9041106407,223.6916441307,268829,50.2726403171,0.3799287678,2655.8689241341,123.153099041,6411454,182.2444133424,6.19305,5.94679,6.13361,6.512,337.2413892078,533052,38.2228305326,0.1119328925,32.1992009061,447.7916730735,455246,39.8085724733
1412,25633,session_2,anat_1,SWU_4,1.8622847887,4638718,3.6709755318,29.3578771109,212.5494868556,253340,47.5541288267,0.3790126013,2550.8340212946,111.681059951,6895618,174.4907706174,6.17774,5.97374,6.09122,6.47945,321.4568876345,530741,37.3223506802,0.1029534453,30.4227197876,429.2289361739,460517,39.1015202413
