"","subject","site","site.name","session","scan","falff_50","falff_75","falff_90","falff_fwhm","falff_mean","reho_50","reho_75","reho_90","reho_fwhm","reho_mean","vmhc_50","vmhc_75","vmhc_90","vmhc_fwhm","vmhc_mean","global"
"1","0003001","4","BMB","1","1",0.683899283409119,0.720461308956146,0.750890517234802,12.0395,0.690314710140228,0.118587173521519,0.189576670527458,0.265112245082855,12.1282,0.141766458749771,0.372903555631638,0.557742699980736,0.718480783700943,12.0001,0.390764594078064,"All Sites"
"2","0003001","4","BMB","1","2",0.68479973077774,0.72193717956543,0.754538059234619,12.0455,0.690924048423767,0.124016366899014,0.195330873131752,0.269119781255722,12.1175,0.145698383450508,0.391190782189369,0.5674829185009,0.717371809482575,12.0009,0.403986483812332,"All Sites"
"3","0003002","4","BMB","1","2",0.662167072296143,0.687608256936073,0.714512664079666,12.0336,0.663314878940582,0.106028079986572,0.173284269869328,0.24272001683712,12.0957,0.128629609942436,0.360255509614944,0.514032617211342,0.667900663614273,11.9565,0.374494731426239,"All Sites"
"4","0003002","4","BMB","1","1",0.664364606142044,0.68978513777256,0.715540480613709,12.0195,0.668855845928192,0.103526782244444,0.16877206414938,0.240524479746819,12.1799,0.127261191606522,0.35826849937439,0.504085868597031,0.640185475349426,11.9159,0.375509798526764,"All Sites"
"5","0003004","4","BMB","1","1",0.709936767816544,0.733925804495811,0.754026830196381,12.017,0.710497677326202,0.116020932793617,0.18147686868906,0.246276333928108,12.137,0.13438805937767,0.382806867361069,0.533835589885712,0.660847759246826,11.9932,0.393380641937256,"All Sites"
"6","0003004","4","BMB","1","2",0.699746787548065,0.720918476581573,0.739178061485291,12.0037,0.700942099094391,0.0978669971227646,0.15492457151413,0.218256607651711,12.0107,0.11784902960062,0.3603196144104,0.502887547016144,0.642970860004425,12.0001,0.368930906057358,"All Sites"
"7","0003006","4","BMB","1","1",0.680760681629181,0.701807022094727,0.721799516677856,12.0202,0.684278666973114,0.14872807264328,0.219587340950966,0.284472179412842,12.0131,0.163142338395119,0.48895651102066,0.651374101638794,0.76559579372406,12.0013,0.470969945192337,"All Sites"
"8","0003006","4","BMB","1","2",0.664682626724243,0.686877727508545,0.709570527076721,12.0041,0.664661765098572,0.127083107829094,0.191202737390995,0.255470639467239,12.0516,0.14333601295948,0.417287483811378,0.584712117910385,0.715713196992874,12.0002,0.41647931933403,"All Sites"
"9","0003007","4","BMB","1","1",0.673645347356796,0.695964708924294,0.718559938669205,12.0041,0.678814172744751,0.0947910398244858,0.143819529563189,0.200755935907364,12.0548,0.112641967833042,0.336775422096252,0.471209168434143,0.592991030216217,11.9229,0.350488901138306,"All Sites"
"10","0003007","4","BMB","1","2",0.654838621616364,0.67805141210556,0.704058229923248,12.0268,0.660151302814484,0.0903513729572296,0.144050717353821,0.207000315189362,12.0742,0.111635126173496,0.301680609583855,0.425206653773785,0.550208586454392,11.849,0.320049971342087,"All Sites"
"11","0003008","4","BMB","1","1",0.668703973293304,0.689484715461731,0.711758697032928,12.0097,0.673743665218353,0.111366666853428,0.16925723105669,0.231669798493385,12.1092,0.129626333713531,0.369133949279785,0.51880019903183,0.633063089847565,11.8958,0.381585389375687,"All Sites"
"12","0003008","4","BMB","1","2",0.655692487955093,0.680362865328789,0.705823290348053,12.0174,0.658368110656738,0.0996551513671875,0.156746540218592,0.220130388438702,12.1744,0.120749250054359,0.293246418237686,0.43075692653656,0.587367677688599,12.0016,0.315621197223663,"All Sites"
"13","0003009","4","BMB","1","1",0.67271214723587,0.696934431791306,0.719842565059662,12.0178,0.677527368068695,0.098189003765583,0.153128944337368,0.214042010903358,12.1006,0.117125563323498,0.35535392165184,0.473435491323471,0.57759016752243,11.9593,0.361038386821747,"All Sites"
"14","0003009","4","BMB","1","2",0.654445230960846,0.679140865802765,0.707296550273895,12.0237,0.658170282840729,0.0975116714835167,0.15447998046875,0.220102083683014,12.1363,0.117988511919975,0.330686211585999,0.449032202363014,0.561115890741348,11.9515,0.342386275529861,"All Sites"
"15","0003010","4","BMB","1","2",0.678954184055328,0.698960244655609,0.721985399723053,12.0172,0.683398723602295,0.119853898882866,0.171067103743553,0.222710937261581,12.0555,0.132829606533051,0.382094591856003,0.511426150798798,0.629657125473022,11.8266,0.385513126850128,"All Sites"
"16","0003010","4","BMB","1","1",0.678875803947449,0.70122766494751,0.722689491510391,12.0154,0.682505130767822,0.126090012490749,0.180543921887875,0.237020646035671,12.0187,0.139863014221191,0.398561894893646,0.53332456946373,0.652769935131073,11.8775,0.399504631757736,"All Sites"
"17","0003011","4","BMB","1","1",0.674409866333008,0.701077282428741,0.726778638362885,12.031,0.676065444946289,0.115752529352903,0.175795610994101,0.235482683777809,12.0591,0.131885454058647,0.368493631482124,0.509718403220177,0.646573972702026,12.0011,0.374969333410263,"All Sites"
"18","0003011","4","BMB","1","2",0.690732002258301,0.7154780626297,0.738946735858917,12.0191,0.69386100769043,0.127932280302048,0.190275482833385,0.251783400774002,12.1139,0.142390534281731,0.423205405473709,0.590981841087341,0.720190942287445,12.0023,0.420826345682144,"All Sites"
"19","0003012","4","BMB","1","1",0.662898421287537,0.686542049050331,0.710733586549759,12.0015,0.667120635509491,0.109475616365671,0.16506303101778,0.223756267130375,12.0336,0.125825211405754,0.341070830821991,0.473110027611256,0.603101915121079,11.9078,0.354293644428253,"All Sites"
