"","uniqueid","subid","site","site.name","session","scan","efc","fber","fwhm","gsr","dvars","quality","global"
"2126","psychswu_chongqing_qiu_0025802_session_1_rest_1","0025802",36,"SWU 4",1,1,0.569900289452899,46.6085857677223,1.94496408350216,0.033503747517704,1.24757067552083,0.00952259640495868,"All Sites"
"2127","psychswu_chongqing_qiu_0025803_session_1_rest_1","0025803",36,"SWU 4",1,1,0.512793789508637,88.3992765433384,1.88545286671282,0.0237042995763734,1.14702885281265,0.00792327797520661,"All Sites"
"2128","psychswu_chongqing_qiu_0025804_session_1_rest_1","0025804",36,"SWU 4",1,1,0.507437565708607,93.628089741293,1.90336242402372,0.0226772171115722,1.00691656677175,0.0130238170661157,"All Sites"
"2129","psychswu_chongqing_qiu_0025805_session_1_rest_1","0025805",36,"SWU 4",1,1,0.552270201614149,43.8738185118291,1.9908893717929,0.0420421987467608,1.03841422835325,0.00910577690082646,"All Sites"
"2130","psychswu_chongqing_qiu_0025806_session_1_rest_1","0025806",36,"SWU 4",1,1,0.536489789069123,66.7475211653437,2.06991853892277,0.0380007099214152,1.10577957743842,0.00939726165289257,"All Sites"
"2131","psychswu_chongqing_qiu_0025807_session_1_rest_1","0025807",36,"SWU 4",1,1,0.489650214551669,92.3999695520913,1.97381577948946,0.0205772532050005,1.19656209228424,0.00424314227272727,"All Sites"
"2132","psychswu_chongqing_qiu_0025808_session_1_rest_1","0025808",36,"SWU 4",1,1,0.536204734997837,92.7034588777993,2.15364502732815,0.0253907058578509,1.02758132636064,0.00965089999999999,"All Sites"
"2133","psychswu_chongqing_qiu_0025809_session_1_rest_1","0025809",36,"SWU 4",1,1,0.512926616350527,81.0675692081981,2.0610300584623,0.020132967528342,1.22410229464804,0.00625276495867769,"All Sites"
"2134","psychswu_chongqing_qiu_0025810_session_1_rest_1","0025810",36,"SWU 4",1,1,0.528298590648863,63.0369619536896,1.90281698425747,0.053529906203029,1.05004141121645,0.00613639177685951,"All Sites"
"2135","psychswu_chongqing_qiu_0025811_session_1_rest_1","0025811",36,"SWU 4",1,1,0.494986637366221,112.160079295772,1.95027882075671,0.0195134802429971,1.26436450449864,0.00891089016528925,"All Sites"
"2136","psychswu_chongqing_qiu_0025812_session_1_rest_1","0025812",36,"SWU 4",1,1,0.474119918211934,104.618247198719,2.14727273709492,0.0105386626624099,1.21420854849434,0.00634980289256198,"All Sites"
"2137","psychswu_chongqing_qiu_0025813_session_1_rest_1","0025813",36,"SWU 4",1,1,0.540626764326942,71.5600685689771,1.94120501413149,0.0263130148814702,1.16566624582989,0.0108530822727273,"All Sites"
"2138","psychswu_chongqing_qiu_0025814_session_1_rest_1","0025814",36,"SWU 4",1,1,0.51245505530909,80.111111791214,1.7996392366981,0.0400987021719637,1.19740787435233,0.0141594158264463,"All Sites"
"2139","psychswu_chongqing_qiu_0025815_session_1_rest_1","0025815",36,"SWU 4",1,1,0.539350401959568,64.4539825533471,1.8397461263237,0.0341919338578393,1.04058765694085,0.0229582018181818,"All Sites"
"2140","psychswu_chongqing_qiu_0025816_session_1_rest_1","0025816",36,"SWU 4",1,1,0.521924847999713,61.8769306327774,2.17342858313974,0.0250730646206425,1.12123510162587,0.00543233342975207,"All Sites"
"2141","psychswu_chongqing_qiu_0025817_session_1_rest_1","0025817",36,"SWU 4",1,1,0.524353501819676,72.8128091699279,1.84264985516746,0.0142228795456582,1.11773539339408,0.00616378438016529,"All Sites"
"2142","psychswu_chongqing_qiu_0025818_session_1_rest_1","0025818",36,"SWU 4",1,1,0.524739792721339,57.3183693866616,2.02539654204664,0.0285539643087221,1.23172114926408,0.006900975,"All Sites"
"2143","psychswu_chongqing_qiu_0025819_session_1_rest_1","0025819",36,"SWU 4",1,1,0.546376604248696,56.1888947527954,2.01162818360693,0.0418563496744676,1.08020702687312,0.0137236053719008,"All Sites"
"2144","psychswu_chongqing_qiu_0025820_session_1_rest_1","0025820",36,"SWU 4",1,1,0.488763004500044,86.9601947266784,2.04897528765419,0.0149652140469765,1.0931677233153,0.00579250371900826,"All Sites"
"2145","psychswu_chongqing_qiu_0025821_session_1_rest_1","0025821",36,"SWU 4",1,1,0.489204806834982,103.295375905276,1.88183497005047,0.0265007602891133,1.12014471240555,0.00869140590909091,"All Sites"
"2146","psychswu_chongqing_qiu_0025822_session_1_rest_1","0025822",36,"SWU 4",1,1,0.497817491550168,116.619342791273,1.94984146217013,0.0291711536535045,1.21726316775772,0.00558695157024793,"All Sites"
"2147","psychswu_chongqing_qiu_0025823_session_1_rest_1","0025823",36,"SWU 4",1,1,0.506717061641655,88.7462848846578,1.7626933921705,0.0197816965123585,1.12189687193833,0.00743547409090909,"All Sites"
"2148","psychswu_chongqing_qiu_0025824_session_1_rest_1","0025824",36,"SWU 4",1,1,0.555009147177641,45.1521107869275,1.82502264327321,0.0503604228955905,1.14005756873999,0.00491172789256198,"All Sites"
"2149","psychswu_chongqing_qiu_0025825_session_1_rest_1","0025825",36,"SWU 4",1,1,0.485488745589271,98.0327175614542,1.85008218304687,0.0192678285260077,1.10078986231399,0.00761528619834712,"All Sites"
"2150","psychswu_chongqing_qiu_0025826_session_1_rest_1","0025826",36,"SWU 4",1,1,0.496465931220603,99.7883349139218,2.0094246493598,0.0214609934794026,1.22186427441095,0.00593924938016529,"All Sites"
"2151","psychswu_chongqing_qiu_0025827_session_1_rest_1","0025827",36,"SWU 4",1,1,0.503713893101426,98.737322720483,2.09868178622069,0.0199008236131421,0.976451457677176,0.0148328252892562,"All Sites"
"2152","psychswu_chongqing_qiu_0025828_session_1_rest_1","0025828",36,"SWU 4",1,1,0.524227313458467,71.2574232284055,2.0552947071958,0.0324928070512912,0.957215635903616,0.0322860276859504,"All Sites"
"2153","psychswu_chongqing_qiu_0025829_session_1_rest_1","0025829",36,"SWU 4",1,1,0.532750950967284,63.9243693774005,1.94817230250113,0.0269300852863654,1.13683201599731,0.00808151595041322,"All Sites"
"2154","psychswu_chongqing_qiu_0025830_session_1_rest_1","0025830",36,"SWU 4",1,1,0.552599149777521,64.6030928924698,2.01613437208593,0.0451585518626064,0.974380115022056,0.0167661836776859,"All Sites"
"2155","psychswu_chongqing_qiu_0025831_session_1_rest_1","0025831",36,"SWU 4",1,1,0.540125902405261,64.0367817067475,2.07437516755809,0.0250596377965194,1.14994445132927,0.00514098314049586,"All Sites"
"2156","psychswu_chongqing_qiu_0025832_session_1_rest_1","0025832",36,"SWU 4",1,1,0.548170939793989,66.3819247227909,1.8684097222981,0.0310741078339506,1.34776510543798,0.0101880547107438,"All Sites"
