"","site","site.name","uniqueid","subid","session","scan","falff_50","reho_50","vmhc_50","falff_75","reho_75","vmhc_75","falff_90","reho_90","vmhc_90","falff_fwhm","reho_fwhm","vmhc_fwhm","falff_mean","reho_mean","vmhc_mean","global"
"3577",45,"UM","MONTREAL_org_0026171_session_1_rest_1","0026171",1,1,0.650216762442142,0.167197197675705,0.473928987979889,0.702937040477991,0.227205745875835,0.658116832375526,0.75917200371623,0.289929270744324,0.814520865678787,4.73726,12.0861,6.11452,0.657817526319373,0.177150100469589,0.43879771232605,"All Sites"
"3578",45,"UM","MONTREAL_org_0026171_session_1_rest_2","0026171",1,2,0.665467433398589,0.180954173207283,0.521586000919342,0.71772927371785,0.248722732067108,0.698923110961914,0.769991114037111,0.316403341293335,0.832371830940247,4.80247,11.8988,6.07714,0.670589336666798,0.192048445343971,0.469623506069183,"All Sites"
"3579",45,"UM","MONTREAL_org_0026171_session_2_rest_1","0026171",2,1,0.64850487280637,0.135151728987694,0.391425594687462,0.69894414069131,0.188673697412014,0.586603760719299,0.74938340857625,0.242866352200508,0.757131814956665,4.59698,11.4652,6.05952,0.653635481761452,0.146180182695389,0.380155771970749,"All Sites"
"3580",45,"UM","MONTREAL_org_0026171_session_2_rest_2","0026171",2,2,0.649318726966158,0.141703590750694,0.42539644241333,0.698993383673951,0.191980928182602,0.603324711322784,0.752216230146587,0.248476234078407,0.754744827747345,4.65259,11.9215,5.99926,0.654404082643254,0.150892794132233,0.403488844633102,"All Sites"
"3581",45,"UM","MONTREAL_org_0026172_session_1_rest_1","0026172",1,1,0.62754290853627,0.173575945198536,0.478920862078667,0.670707235578448,0.231066036969423,0.671976163983345,0.713871562620625,0.288654911518097,0.829293459653854,4.22936,12.1169,6.40595,0.630524804736186,0.181766510009766,0.448526203632355,"All Sites"
"3582",45,"UM","MONTREAL_org_0026172_session_1_rest_2","0026172",1,2,0.657325405627489,0.205179393291473,0.556620061397552,0.707339295186102,0.284551978111267,0.746786296367645,0.760925605427474,0.35564860701561,0.878192126750946,4.71875,13.7082,6.59356,0.663150245928161,0.217029973864555,0.503424644470215,"All Sites"
"3583",45,"UM","MONTREAL_org_0026172_session_2_rest_1","0026172",2,1,0.648934641852975,0.201793119311333,0.540320098400116,0.69478328502737,0.270987994968891,0.733702719211578,0.737105109496042,0.340000602602959,0.870995044708252,4.40589,12.907,6.61028,0.651245497089154,0.21290796995163,0.493731647729874,"All Sites"
"3584",45,"UM","MONTREAL_org_0026172_session_2_rest_2","0026172",2,2,0.66731208562851,0.18875277787447,0.497334316372871,0.722310334444046,0.261660248041153,0.702361226081848,0.777308583259583,0.326811894774437,0.8566033244133,4.82024,13.4674,6.97687,0.673855031377186,0.199428111314774,0.463737457990646,"All Sites"
"3585",45,"UM","MONTREAL_org_0026173_session_1_rest_1","0026173",1,1,0.681622717529535,0.204411804676056,0.56279319524765,0.739633161574602,0.281428337097168,0.739270210266113,0.794017952866852,0.352163016796112,0.86030530333519,5.00122,12.382,6.29603,0.68718398743011,0.215577617287636,0.501328647136688,"All Sites"
"3586",45,"UM","MONTREAL_org_0026173_session_1_rest_2","0026173",1,2,0.684871184639633,0.19926443696022,0.562619090080261,0.734041423536837,0.273588426411152,0.728703275322914,0.779699502512813,0.340308517217636,0.851430952548981,4.85018,12.5929,6.46444,0.686991194458281,0.210779026150703,0.500808417797089,"All Sites"
"3587",45,"UM","MONTREAL_org_0026173_session_2_rest_1","0026173",2,1,0.66237299144268,0.187326490879059,0.534037470817566,0.710671022068709,0.252266086637974,0.709108769893646,0.758969052694738,0.317544513940811,0.838094353675842,4.85187,12.7748,6.45634,0.664300149308513,0.194162413477898,0.482990175485611,"All Sites"
"3588",45,"UM","MONTREAL_org_0026173_session_2_rest_2","0026173",2,2,0.675082041416317,0.212921530008316,0.553997039794922,0.735484118806198,0.2942233979702,0.731756269931793,0.788780069444329,0.366490215063095,0.85089613199234,5.31555,13.6998,6.47633,0.679684969644575,0.221658200025558,0.495702594518661,"All Sites"
"3589",45,"UM","MONTREAL_org_0026174_session_1_rest_1","0026174",1,1,0.63193763489835,0.163712352514267,0.504113227128983,0.693325862288475,0.24922539293766,0.698234975337982,0.761936234077439,0.330141663551331,0.818924498558045,5.08793,13.4696,6.21044,0.6441996139814,0.182894855737686,0.453610956668854,"All Sites"
"3590",45,"UM","MONTREAL_org_0026174_session_1_rest_2","0026174",1,2,0.627182016614825,0.147779956459999,0.440288037061691,0.683242978993803,0.222190722823143,0.639434397220612,0.742807751521468,0.296470957994461,0.776971817016602,4.92365,13.0211,6.279,0.635875150913224,0.165484830737114,0.410722196102142,"All Sites"
"3591",45,"UM","MONTREAL_org_0026174_session_2_rest_1","0026174",2,1,0.631704367697239,0.13936348259449,0.41753226518631,0.685850456357002,0.205402299761772,0.62379664182663,0.750825762748718,0.276456713676453,0.775633037090302,4.96172,12.9021,6.28051,0.642190082892554,0.155931383371353,0.398689150810242,"All Sites"
"3592",45,"UM","MONTREAL_org_0026174_session_2_rest_2","0026174",2,2,0.632134783314541,0.134669579565525,0.399543941020966,0.678562761750072,0.199297949671745,0.609447434544563,0.732133506098762,0.266695436835289,0.760783416032791,4.71556,12.9905,6.26669,0.637628840999563,0.151720196008682,0.387666136026383,"All Sites"
"3593",45,"UM","MONTREAL_org_0026175_session_1_rest_1","0026175",1,1,0.680189616978168,0.208981558680534,0.552976071834564,0.738078095018864,0.288521930575371,0.729400634765625,0.792348543182015,0.357415169477463,0.847277462482452,5.12077,13.3628,6.34918,0.686548860595585,0.218069061636925,0.49474960565567,"All Sites"
