"","site","site.name","uniqueid","subid","session","scan","snr","cnr","fber","efc","qi1","fwhm","global"
"1",4,"BMB","Berlin_0003001_session_1_anat_1","0003001",1,1,13.3667683016266,6.56324864205062,4.75805990513747,0.512694999826771,0.29641398801013,2.92415,"All Sites"
"2",4,"BMB","Berlin_0003002_session_1_anat_1","0003002",1,1,14.1921715247308,6.7322656753257,3.60306547438589,0.473943210329927,0.297460463516738,3.1618,"All Sites"
"3",4,"BMB","Berlin_0003004_session_1_anat_1","0003004",1,1,27.7520087280646,11.8920416116175,21.2391638210683,0.442978122133496,0.191191691172737,2.95997,"All Sites"
"4",4,"BMB","Berlin_0003006_session_1_anat_1","0003006",1,1,12.7311001561408,5.56545562318557,5.62546544156761,0.406462557161029,0.196061523382352,2.89029,"All Sites"
"5",4,"BMB","Berlin_0003007_session_1_anat_1","0003007",1,1,24.5941189748224,9.59807198346095,16.5499897361485,0.466622565898657,0.156693712030064,3.19287,"All Sites"
"6",4,"BMB","Berlin_0003008_session_1_anat_1","0003008",1,1,23.6395437839782,9.96630095046216,17.9697317561526,0.403716266618372,0.168752080369535,2.9648,"All Sites"
"7",4,"BMB","Berlin_0003009_session_1_anat_1","0003009",1,1,14.1627139226363,6.21761435363386,4.96981950194129,0.505320422596053,0.277720197771961,3.03601,"All Sites"
"8",4,"BMB","Berlin_0003010_session_1_anat_1","0003010",1,1,14.7502010344503,6.80222833267203,5.10454211589932,0.460198481479614,0.302764927650092,3.07445,"All Sites"
"9",4,"BMB","Berlin_0003011_session_1_anat_1","0003011",1,1,12.6206407437619,6.75676136138352,5.90492939489358,0.459016351020488,0.306906023652596,3.0363,"All Sites"
"10",4,"BMB","Berlin_0003012_session_1_anat_1","0003012",1,1,22.7058503502974,9.30553028788331,31.5808319464967,0.45825277385369,0.160008127415758,2.98756,"All Sites"
"11",4,"BMB","Berlin_0003013_session_1_anat_1","0003013",1,1,11.5299495087893,4.79661256800989,3.14092461072212,0.460182361811896,0.249848637130464,2.85324,"All Sites"
"12",4,"BMB","Berlin_0003014_session_1_anat_1","0003014",1,1,11.3940229842596,4.89821733467903,5.16573508258691,0.531483879182957,0.289645377021602,3.11075,"All Sites"
"13",4,"BMB","Berlin_0003015_session_1_anat_1","0003015",1,1,22.4128587312534,10.4021614052781,20.5350219203401,0.403687159067588,0.149331449417391,3.16775,"All Sites"
"14",4,"BMB","Berlin_0003016_session_1_anat_1","0003016",1,1,23.8763038464616,9.48762839494724,14.0853887635349,0.495701920234617,0.104376547474103,2.98018,"All Sites"
"15",4,"BMB","Berlin_0003017_session_1_anat_1","0003017",1,1,15.2943118488625,7.05346243406727,5.08232621844969,0.516804340407869,0.283082970945452,2.93132,"All Sites"
"16",4,"BMB","Berlin_0003018_session_1_anat_1","0003018",1,1,13.4008217431386,6.17004379620775,2.99478267869439,0.504085437148197,0.316400923576726,2.86846,"All Sites"
"17",4,"BMB","Berlin_0003020_session_1_anat_1","0003020",1,1,12.8984421603165,5.30396537605291,4.45749820444292,0.511181838441065,0.295221405565263,2.93582,"All Sites"
"18",4,"BMB","Berlin_0003021_session_1_anat_1","0003021",1,1,25.3774061009345,10.9826569672151,16.1618564956525,0.421134501848836,0.162978399796899,2.98189,"All Sites"
"19",4,"BMB","Berlin_0003022_session_1_anat_1","0003022",1,1,14.160781373484,6.18566838503921,3.23390145413577,0.508406307623071,0.314547916183375,2.88879,"All Sites"
"20",4,"BMB","Berlin_0003023_session_1_anat_1","0003023",1,1,13.3038360796688,6.04729740949602,3.28555893723417,0.464432023804619,0.295597789016083,3.11433,"All Sites"
"21",4,"BMB","Berlin_0003024_session_1_anat_1","0003024",1,1,19.7551245950329,7.55638516991804,10.535113941599,0.443297983188837,0.127295482324044,2.75549,"All Sites"
"22",4,"BMB","Berlin_0003025_session_1_anat_1","0003025",1,1,16.8185774430563,7.57495011479468,3.42810459775928,0.490747158795058,0.28287169018657,2.89855,"All Sites"
"23",4,"BMB","Berlin_0003026_session_1_anat_1","0003026",1,1,11.186691038772,5.24822304025851,2.45619883281145,0.472090141894426,0.263273037616682,2.86785,"All Sites"
"24",4,"BMB","Berlin_0003032_session_1_anat_1","0003032",1,1,17.4681553560875,7.83102298903265,5.02695618470316,0.480868165179897,0.277644142489901,3.16772,"All Sites"
"25",4,"BMB","Berlin_0003033_session_1_anat_1","0003033",1,1,14.0990094307258,6.50913103528318,7.01365609667641,0.509659922235295,0.28473598314079,3.16484,"All Sites"
"26",4,"BMB","Berlin_0003034_session_1_anat_1","0003034",1,1,23.1989841974169,7.59497039728029,40.7512146083303,0.37823424350931,0.197300708304938,3.16304,"All Sites"
"27",4,"BMB","Berlin_0003036_session_1_anat_1","0003036",1,1,17.4108696057847,8.34842579308508,9.83147490362579,0.477169253392591,0.303955466856977,3.04535,"All Sites"
"28",4,"BMB","Berlin_0003037_session_1_anat_1","0003037",1,1,13.3537251373082,5.55788123079823,4.92094467001981,0.48400669705693,0.275968806006729,2.91399,"All Sites"
"29",4,"BMB","Berlin_0003038_session_1_anat_1","0003038",1,1,15.5141862366564,6.45697937697836,4.31466871862498,0.526011275776608,0.296873099748249,2.90391,"All Sites"
"30",4,"BMB","Berlin_0003039_session_1_anat_1","0003039",1,1,14.1639823356181,7.27498465252644,6.39537228783894,0.477048590349834,0.283430596614597,3.01938,"All Sites"
"31",4,"BMB","Berlin_0003040_session_1_anat_1","0003040",1,1,17.8811837228438,8.27156942291064,13.3146309391044,0.471178814770034,0.249310951004213,2.93362,"All Sites"
"32",4,"BMB","Berlin_0003041_session_1_anat_1","0003041",1,1,16.2022750392968,8.56472211027406,5.15173361413843,0.486076407787474,0.283018988912636,2.98035,"All Sites"
"33",4,"BMB","Berlin_0003042_session_1_anat_1","0003042",1,1,13.4476781931608,6.11458484985181,12.2848717021174,0.512610769559679,0.318691578092285,3.01364,"All Sites"
"34",4,"BMB","Berlin_0003044_session_1_anat_1","0003044",1,1,27.2760813116629,12.1336710713867,17.8536279569036,0.455854964651023,0.149240576502037,2.94184,"All Sites"
"35",4,"BMB","Berlin_0003045_session_1_anat_1","0003045",1,1,14.4496074300717,6.89108498839834,4.54007425720393,0.478370116437115,0.300755674600138,2.94296,"All Sites"
"36",4,"BMB","Berlin_0003047_session_1_anat_1","0003047",1,1,16.0293069633775,7.15982908665545,7.62548859636326,0.524367874973909,0.270659428736348,2.88468,"All Sites"
"37",4,"BMB","Berlin_0003049_session_1_anat_1","0003049",1,1,26.7964210740545,11.8482708619487,30.986251369521,0.452606849572307,0.178246986857247,3.05836,"All Sites"
"38",4,"BMB","Berlin_0003050_session_1_anat_1","0003050",1,1,22.6095814709003,9.65660656515413,12.7935370280961,0.394077026956325,0.194663748884973,2.96091,"All Sites"
"39",4,"BMB","Berlin_0003051_session_1_anat_1","0003051",1,1,11.8663627753087,5.85485920853239,2.20741581937931,0.522830115727837,0.277332802890911,2.88154,"All Sites"
"40",4,"BMB","Berlin_0003052_session_1_anat_1","0003052",1,1,12.0200262323862,5.84135241200986,2.22569679503526,0.488884142776383,0.337896793170462,2.90426,"All Sites"
"41",4,"BMB","Berlin_0003054_session_1_anat_1","0003054",1,1,11.322295819408,4.89645235312628,2.77195088986836,0.513254588704526,0.307455563763129,2.80042,"All Sites"
"42",4,"BMB","Berlin_0003055_session_1_anat_1","0003055",1,1,10.4500544672455,4.75372350274564,9.26882614788702,0.476899821779376,0.273439060081528,3.27645,"All Sites"
"43",4,"BMB","Berlin_0003056_session_1_anat_1","0003056",1,1,25.960922086202,12.4273185555362,19.0732953107307,0.469999516513137,0.155588651293111,2.90016,"All Sites"
"44",4,"BMB","Berlin_0003057_session_1_anat_1","0003057",1,1,15.136722896226,7.21041254195859,3.82332453127727,0.514645717504811,0.331080761416192,2.79512,"All Sites"
"45",4,"BMB","Berlin_0003059_session_1_anat_1","0003059",1,1,12.0982894284377,5.16311658736172,4.71242661395224,0.493536865194577,0.27561245384233,3.11743,"All Sites"
"46",4,"BMB","Berlin_0003060_session_1_anat_1","0003060",1,1,13.9600450546673,6.25746312657044,2.99378610875723,0.479807442830147,0.350056074287835,2.96461,"All Sites"
"47",4,"BMB","Berlin_0003061_session_1_anat_1","0003061",1,1,13.2785412371395,5.92841620106209,8.23075639043162,0.481910140218291,0.230728859800616,3.09557,"All Sites"
"48",4,"BMB","Berlin_0003062_session_1_anat_1","0003062",1,1,16.278104643245,6.14948387905725,8.13755796394613,0.478066695577626,0.410644088730736,3.25453,"All Sites"
"49",4,"BMB","Berlin_0003063_session_1_anat_1","0003063",1,1,12.2159035646473,5.47594993979098,3.08579274389124,0.486464442791704,0.248369176249742,2.94803,"All Sites"
"50",4,"BMB","Berlin_0003064_session_1_anat_1","0003064",1,1,15.31705377231,7.43586899329353,5.9526546470793,0.477122277655825,0.328484512501339,2.96388,"All Sites"
"51",22,"NKI","NKI_TRT_0021001_session_1_anat_1","0021001",1,1,18.2164628726953,10.4174884476647,8.10615619652157,0.478476874141611,0.168697420803069,3.60784,"All Sites"
"53",22,"NKI","NKI_TRT_0021002_session_1_anat_1","0021002",1,1,17.297416058252,6.10936369984769,9.8703673646754,0.439707629810512,0.343879893241251,3.26639,"All Sites"
"55",22,"NKI","NKI_TRT_0021006_session_1_anat_1","0021006",1,1,13.3733678621298,4.53874559722331,11.3524347771495,0.45829005657577,0.40865560808849,3.11478,"All Sites"
"57",22,"NKI","NKI_TRT_0021018_session_1_anat_1","0021018",1,1,12.3369608882499,3.55835182581367,13.2583240203808,0.449510059056794,0.25019829671465,3.40972,"All Sites"
"59",22,"NKI","NKI_TRT_0021024_session_1_anat_1","0021024",1,1,19.6413098323125,6.87847935737886,9.89538940844673,0.46319837470949,0.23684129957047,3.05171,"All Sites"
