"","subject","site","site.name","session","scan","falff_50","falff_75","falff_90","falff_fwhm","falff_mean","reho_50","reho_75","reho_90","reho_fwhm","reho_mean","vmhc_50","vmhc_75","vmhc_90","vmhc_fwhm","vmhc_mean","global"
"1","0003001","4","BMB","1","1",0.668130278587341,0.703494191169739,0.73690060377121,7.35403,0.661347568035126,0.116165578365326,0.174278736114502,0.235057440400124,13.7719,0.133337363600731,0.396136462688446,0.619661927223206,0.783221304416656,6.4652,0.390761107206345,"All Sites"
"2","0003001","4","BMB","1","2",0.669169247150421,0.706127524375916,0.742139029502869,7.50221,0.662396848201752,0.121875360608101,0.180617973208427,0.240407699346542,13.5379,0.137130096554756,0.418891444802284,0.621947437524796,0.785686284303665,6.44504,0.403982728719711,"All Sites"
"3","0003002","4","BMB","1","2",0.651095628738403,0.676412403583527,0.704601758718491,7.49244,0.635864436626434,0.104238446801901,0.160826619714499,0.213944618403912,14.5553,0.1207644790411,0.380067259073257,0.582651555538177,0.739930909872055,6.7417,0.374493569135666,"All Sites"
"4","0003002","4","BMB","1","1",0.65311986207962,0.677603155374527,0.704602867364883,7.23908,0.640826165676117,0.101967088878155,0.156947672367096,0.211277703940868,14.1989,0.119353622198105,0.377324998378754,0.590936124324799,0.760631442070007,6.57763,0.37551361322403,"All Sites"
"5","0003004","4","BMB","1","1",0.692122757434845,0.723637774586678,0.750187337398529,7.23098,0.680538713932037,0.114244431257248,0.166824094951153,0.215489737689495,14.0651,0.126029580831528,0.413583815097809,0.605134606361389,0.757438659667969,6.07797,0.393381834030151,"All Sites"
"6","0003004","4","BMB","1","2",0.684005320072174,0.711989760398865,0.736358821392059,7.15823,0.671609997749329,0.0966073200106621,0.142891585826874,0.190252378582954,14.3542,0.110480733215809,0.377380222082138,0.57197941839695,0.730921268463135,5.91705,0.368933796882629,"All Sites"
"7","0003006","4","BMB","1","1",0.670100331306458,0.693621158599854,0.717605268955231,7.23031,0.656226277351379,0.144157275557518,0.201727703213692,0.254785311222076,13.4006,0.15395712852478,0.520543038845062,0.697123229503632,0.814292907714844,6.51767,0.470973014831543,"All Sites"
"8","0003006","4","BMB","1","2",0.654478311538696,0.677925020456314,0.703302228450775,7.55056,0.63758385181427,0.123373217880726,0.176035597920418,0.228958839178085,13.5888,0.135261863470078,0.441918820142746,0.630705416202545,0.766625225543976,6.45846,0.41647869348526,"All Sites"
"9","0003007","4","BMB","1","1",0.663434565067291,0.687995910644531,0.713622468709946,7.2032,0.653336763381958,0.0928653255105019,0.133367255330086,0.176611687242985,13.8918,0.106208145618439,0.356594353914261,0.534697651863098,0.692818582057953,5.97065,0.350481867790222,"All Sites"
"10","0003007","4","BMB","1","2",0.64631575345993,0.667830586433411,0.693831324577332,7.21702,0.635455250740051,0.0895307064056396,0.13372790813446,0.180345833301544,14.426,0.104978278279305,0.314141690731049,0.489546157419682,0.647973299026489,6.22087,0.320052355527878,"All Sites"
"11","0003008","4","BMB","1","1",0.658807992935181,0.678101062774658,0.700078415870667,6.9924,0.645074307918549,0.108084492385387,0.155921638011932,0.206110990047455,13.4862,0.121880106627941,0.396740257740021,0.583195000886917,0.723315727710724,6.5226,0.381580084562302,"All Sites"
"12","0003008","4","BMB","1","2",0.643618226051331,0.666669890284538,0.689933890104294,7.13424,0.630062520503998,0.0972281694412231,0.144218124449253,0.1951027572155,14.2102,0.113387823104858,0.305992394685745,0.485350489616394,0.658428430557251,6.37171,0.315620481967926,"All Sites"
