"","site","site.name","uniqueid","subid","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"53",4,"BMB","Berlin_0003036_session_1_rest_1","0003036",1,1,0.0618,0,"All Sites"
"54",4,"BMB","Berlin_0003036_session_1_rest_2","0003036",1,2,0.1272,12.4378,"All Sites"
"55",4,"BMB","Berlin_0003037_session_1_rest_1","0003037",1,1,0.144,16.4179,"All Sites"
"56",4,"BMB","Berlin_0003037_session_1_rest_2","0003037",1,2,0.1245,6.4677,"All Sites"
"57",4,"BMB","Berlin_0003038_session_1_rest_1","0003038",1,1,0.1224,5.4726,"All Sites"
"58",4,"BMB","Berlin_0003038_session_1_rest_2","0003038",1,2,0.165,25.8706,"All Sites"
"59",4,"BMB","Berlin_0003039_session_1_rest_1","0003039",1,1,0.1335,12.9353,"All Sites"
"60",4,"BMB","Berlin_0003039_session_1_rest_2","0003039",1,2,0.1031,1.4925,"All Sites"
"61",4,"BMB","Berlin_0003040_session_1_rest_1","0003040",1,1,0.1528,24.3781,"All Sites"
"62",4,"BMB","Berlin_0003040_session_1_rest_2","0003040",1,2,0.098,4.4776,"All Sites"
"63",4,"BMB","Berlin_0003041_session_1_rest_1","0003041",1,1,0.0327,0.995,"All Sites"
"64",4,"BMB","Berlin_0003041_session_1_rest_2","0003041",1,2,0.0278,0.4975,"All Sites"
"65",4,"BMB","Berlin_0003042_session_1_rest_1","0003042",1,1,0.1176,15.9204,"All Sites"
"66",4,"BMB","Berlin_0003042_session_1_rest_2","0003042",1,2,0.0972,5.9701,"All Sites"
"67",4,"BMB","Berlin_0003044_session_1_rest_1","0003044",1,1,0.0571,1.4925,"All Sites"
"68",4,"BMB","Berlin_0003044_session_1_rest_2","0003044",1,2,0.0732,1.4925,"All Sites"
"69",4,"BMB","Berlin_0003045_session_1_rest_1","0003045",1,1,0.1605,29.8507,"All Sites"
"70",4,"BMB","Berlin_0003045_session_1_rest_2","0003045",1,2,0.1097,2.9851,"All Sites"
"71",4,"BMB","Berlin_0003047_session_1_rest_1","0003047",1,1,0.0401,0.995,"All Sites"
"72",4,"BMB","Berlin_0003047_session_1_rest_2","0003047",1,2,0.0848,5.9701,"All Sites"
"73",4,"BMB","Berlin_0003049_session_1_rest_1","0003049",1,1,0.1496,17.4129,"All Sites"
"74",4,"BMB","Berlin_0003049_session_1_rest_2","0003049",1,2,0.1319,7.4627,"All Sites"
"75",4,"BMB","Berlin_0003050_session_1_rest_1","0003050",1,1,0.0587,0.995,"All Sites"
"76",4,"BMB","Berlin_0003050_session_1_rest_2","0003050",1,2,0.0567,0,"All Sites"
"77",4,"BMB","Berlin_0003051_session_1_rest_1","0003051",1,1,0.044,0,"All Sites"
"78",4,"BMB","Berlin_0003051_session_1_rest_2","0003051",1,2,0.0505,0.4975,"All Sites"
