"","subject","session","site","anat_cnr","anat_efc","anat_fber","anat_fwhm","anat_qi1","anat_snr"
"594","0025453",8,"HNU","12.380688667297365","0.37094406922035056","348.6226203026143","2.78136","0.10034560579135003","14.2138032913208"
"595","0025453",9,"HNU","16.985689163208008","0.3664812029387012","675.3420033033765","2.7642700000000002","0.06899156977080605","19.844051361083984"
"596","0025453",10,"HNU","13.331616401672365","0.3698157853731091","386.42193606653564","2.8043","0.08853855328528012","15.221986770629885"
"607","0025454",1,"HNU","17.210044860839847","0.3896289761681558","612.8276742199355","2.4868200000000003","0.09156221152258896","21.054893493652344"
"598","0025454",2,"HNU","16.216602325439453","0.3917768502739963","569.0164402731627","2.55806","0.0943189657532925","20.64191246032715"
"599","0025454",3,"HNU","16.17360496520996","0.3864556503487022","553.3359544638153","2.54724","0.0846807311571104","20.506820678710934"
"600","0025454",4,"HNU","16.105335235595707","0.3887445709118608","552.8256475223136","2.4586799999999998","0.09839871453836872","20.129600524902344"
"601","0025454",5,"HNU","17.750865936279297","0.3972144179365438","653.5597430544466","2.4769900000000002","0.09155608637242296","22.268024444580078"
"602","0025454",6,"HNU","16.555988311767578","0.3935652063931853","588.3070207656393","2.49538","0.10375467590520553","21.65032958984375"
"603","0025454",7,"HNU","18.49689483642578","0.3917029527260565","733.6739373388685","2.50303","0.09006607890209788","23.35426139831543"
"604","0025454",8,"HNU","17.60698127746582","0.3943287434920388","618.9232860561348","2.47825","0.1076735817948012","21.915328979492188"
"605","0025454",9,"HNU","18.018774032592773","0.3876874308013437","714.0136194944579","2.49917","0.08370522229360827","23.446733474731445"
"606","0025454",10,"HNU","16.391233444213867","0.3861848995633797","572.3765463783051","2.4918400000000003","0.09255690977883499","20.65402603149414"
"617","0025455",1,"HNU","17.19985008239746","0.4188741367904199","591.6514308274845","2.46958","0.08276707721830992","20.53340721130371"
"608","0025455",2,"HNU","20.36405372619629","0.419625819519835","828.667308827298","2.48767","0.07289112323968781","24.287633895874023"
"609","0025455",3,"HNU","19.0500431060791","0.41700902007906543","730.4022880285629","2.49709","0.07739969834519703","23.03948974609375"
"610","0025455",4,"HNU","16.311113357543945","0.4147978639183753","505.6672360654925","2.50018","0.0829812413147376","19.23754119873047"
"611","0025455",5,"HNU","18.55531311035156","0.4170179602128184","756.5617536848503","2.46849","0.08400001433851073","24.22443008422852"
"612","0025455",6,"HNU","19.733057022094727","0.4178695902463048","790.0805692322572","2.5047200000000003","0.07774200863865113","24.139747619628906"
"613","0025455",7,"HNU","17.925928115844727","0.4171452944835928","713.4429526024719","2.46023","0.08278926986670834","23.07308387756348"
"614","0025455",8,"HNU","20.2886962890625","0.4118053410581004","951.7365756291452","2.4466900000000003","0.07516615024239817","27.29768180847168"
"615","0025455",9,"HNU","21.54851531982422","0.4197385073289539","956.107948283882","2.53533","0.07360059058688366","26.21723937988281"
"616","0025455",10,"HNU","17.704618453979492","0.4145367155680461","602.299752669843","2.52885","0.08096670301692914","20.675212860107425"
"627","0025456",1,"HNU","9.960400581359863","0.3818170103383899","303.835231089902","2.7214400000000003","0.0871788004212011","12.855656623840332"
"618","0025456",2,"HNU","11.054858207702637","0.3860497173788779","387.7452580753914","2.69185","0.09665700127195373","15.040332794189453"
"619","0025456",3,"HNU","12.214754104614258","0.3869071910478951","447.3705177178341","2.7311900000000002","0.08891790396256373","15.634079933166506"
"620","0025456",4,"HNU","11.975564956665039","0.3826718649021667","423.7404704562984","2.71644","0.0790884488623223","15.082375526428224"
"621","0025456",5,"HNU","9.03761100769043","0.380943923006504","251.39230563678825","2.76289","0.09271734853882577","11.987614631652832"
"622","0025456",6,"HNU","10.529356956481934","0.38460186728120377","360.9745509601526","2.72243","0.10501191611003184","14.48725128173828"
"623","0025456",7,"HNU","11.890787124633787","0.38312775886778055","476.1801632796989","2.71672","0.08023676593904255","16.593647003173828"
"624","0025456",8,"HNU","11.497666358947756","0.3800559486447303","379.96545233637033","2.75124","0.09974877646622343","14.377364158630373"
"625","0025456",9,"HNU","12.714712142944336","0.38180056768654985","482.3607906729459","2.7119","0.08119016248075844","15.974821090698242"
"626","0025456",10,"HNU","8.26048755645752","0.3772640295681083","195.8141794126944","2.78115","0.1059237352009822","10.292187690734863"
"629","0025457",1,"IACAS","11.195788383483887","0.4055574053574351","2640.150295236605","3.00946","0.13820353015959258","54.34163665771485"
"628","0025457",2,"IACAS","10.379127502441406","0.41351126214863615","1971.0138378636732","3.00637","0.14301215907915266","45.34642028808594"
"632","0025458",1,"IACAS","9.022464752197266","0.37159495107584495","1238.9209717120007","3.26506","0.12871428114202493","34.74375534057617"
"630","0025458",2,"IACAS","7.668220520019531","0.36757929977667103","923.7574402710036","3.13775","0.12400141342251696","29.568103790283203"
"631","0025458",3,"IACAS","3.2326748371124268","0.6467062548708415","184.57894635444214","3.04487","0.508075776506177","14.158477783203125"
"634","0025459",1,"IACAS","13.021584510803224","0.3876983393097347","2316.92098583031","3.04909","0.15386576708357444","50.80560684204102"
"633","0025459",2,"IACAS","6.743546962738037","0.3827851232409128","841.8099294966693","3.07515","0.1481464171649903","29.55193328857422"
"636","0025460",1,"IACAS","6.651355266571045","0.4224833066750263","953.3210526066762","3.03431","0.15785612017593534","31.30778312683105"
"635","0025460",2,"IACAS","11.063108444213867","0.4232614892551987","2466.936512796883","3.08195","0.16569610700076778","52.06611633300781"
"638","0025461",1,"IACAS","10.730453491210938","0.4019807534961641","2206.471399721002","2.8251","0.14504477972249286","48.574073791503906"
"637","0025461",2,"IACAS","7.245040416717528","0.40770607780074536","903.0094667472353","2.8913599999999997","0.14979486876020132","30.57101249694824"
"640","0025462",1,"IACAS","11.637725830078125","0.4439013538406207","2365.218832025184","3.15115","0.18117770200761","51.6297721862793"
"639","0025462",2,"IACAS","9.454995155334473","0.4394897382667846","1546.6205981622531","3.07519","0.1641817069385629","40.59215927124024"
"643","0025463",1,"IACAS","10.160140991210938","0.437845020364332","1763.9849175338284","2.8784400000000003","0.17131730637820206","43.05611038208008"
"641","0025463",2,"IACAS","10.220253944396973","0.40472321893431135","1986.700927217592","3.01437","0.16313517121602333","46.68265914916992"
"642","0025463",3,"IACAS","4.348705291748047","0.6654086959208957","422.37437545928253","3.02031","0.5167021377157746","22.392793655395508"
"645","0025464",1,"IACAS","9.75080680847168","0.4046701194295265","1882.8180998228922","2.93503","0.1532847157387961","44.660621643066406"
