subject,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std,site
0003001_session_1,10.715308724987826,7763220.0,16.29253242999906,6.563248642050617,102.1042312804608,9028.0,45.92669473346574,0.5126949998267706,4.758059905137473,205.0034735075771,3771116.0,125.15705415473008,2.92415,217.7785060385347,353811.0,31.01034871319538,0.2964139880101298,13.366768301626589,324.7104473852917,87352.0,28.30679514465377,BMB_1
0003002_session_1,10.997109109295373,8211656.0,16.851782823132144,6.732265675325705,108.41034173812876,7813.0,31.240471107065105,0.4739432103299269,3.6030654743858888,220.16123460580013,3322680.0,146.6468626244135,3.1618,239.1633923234034,321184.0,32.84223183925693,0.2974604635167377,14.192171524730787,352.6140713916193,77320.0,25.294645442854854,BMB_1
0003004_session_1,5.464253079083294,8546862.0,8.145102624656372,11.892041611617456,103.13949179460032,7556.0,34.318586055012666,0.4429781221334956,21.239163821068324,196.73962953317752,2987474.0,116.00118512450358,2.95997,226.04295913044533,329732.0,30.65510959749716,0.19119169117273685,27.75200872806457,322.90485847375345,81363.0,27.265191866723796,BMB_1
0003006_session_1,6.857856361223386,9190457.0,19.45873644201772,5.5654556231855725,110.99705188679243,6784.0,54.203753249278144,0.4064625571610293,5.625465441567606,220.4543233673752,2343879.0,122.53093920982596,2.8902900000000002,247.73112255527488,307192.0,29.901452686058388,0.19606152338235194,12.731100156140823,356.02785670658835,75314.0,21.7420295831541,BMB_1
0003008_session_1,4.92017892716427,8937715.0,11.244386981274516,9.966300950462164,119.08043929949541,6738.0,35.96515249253318,0.4037162666183716,17.96973175615263,228.38529766184598,2596621.0,137.11350361850455,2.9648,265.8121783678333,302947.0,33.25635035244334,0.16875208036953518,23.63954378397819,377.87712302667387,73480.0,27.64285495075697,BMB_1
0003007_session_1,5.79659647841925,8111187.0,9.815510583014103,9.598071983460953,108.07524027459955,10925.0,39.12813913974856,0.4666225658986565,16.5499897361485,195.2340824194331,3423149.0,119.70110725981628,3.19287,241.40383507727756,375012.0,36.156853004212714,0.15669371203006416,24.59411897482243,335.61381220746966,83752.0,32.445909553924444,BMB_1
0003009_session_1,10.319218585074298,7650225.0,16.583866557882246,6.217614353633857,107.2175565266958,10526.0,37.993986588249996,0.5053204225960531,4.969819501941292,222.24350591422336,3884111.0,142.8305612627199,3.0360099999999997,234.87255779046146,367751.0,33.50271589116632,0.2777201977719609,14.162713922636303,337.9846445394986,92345.0,30.41249472965086,BMB_1
0003010_session_1,9.145483625272623,8215007.0,14.775516506174181,6.802228332672034,103.68737745098042,8160.0,31.0238276150274,0.4601984814796141,5.104542115899322,219.32684015353703,3319329.0,150.4931596618474,3.07445,217.94183885390763,302384.0,28.482589725692176,0.3027649276500921,14.750201034450278,318.44827586206895,69281.0,23.78183332785977,BMB_1
0003011_session_1,9.884251440333221,8329149.0,16.36267209572223,6.756761361383518,91.48225069966122,6789.0,27.67139071451971,0.4590163510204876,5.9049293948935775,196.58682098735585,3205187.0,138.87599221672198,3.0363,206.50740612808846,295296.0,27.73925052822335,0.30690602365259645,12.620640743761935,317.0660767134527,68254.0,22.324444944071413,BMB_1
0003012_session_1,5.051642172498721,8100976.0,9.150161891007683,9.305530287883307,95.09983205821982,10718.0,29.925682626441308,0.4582527738536895,31.580831946496676,183.8300387958152,3433360.0,118.44910450669127,2.9875599999999998,207.76220657821491,344896.0,30.470363062715226,0.16000812741575826,22.705850350297407,292.9093151940225,85119.0,28.170965489455032,BMB_1
0003013_session_1,11.435231146049409,8613407.0,23.22194897578249,4.7966125680098886,124.0271060623102,8891.0,36.10542129989849,0.4601823618118964,3.14092461072212,240.10468998048225,2920929.0,143.69967112829892,2.85324,267.74789918645286,313688.0,31.96692331531668,0.24984863713046415,11.529949508789267,379.1345914973755,74871.0,23.948288977651046,BMB_1
0003014_session_1,11.70738789825215,7456708.0,18.890461735408426,4.8982173346790345,100.25971710448117,8413.0,32.1456988545415,0.5314838791829574,5.165735082586907,204.96173142817344,4077628.0,126.23682197891098,3.11075,215.2383551965203,362329.0,29.6843663748424,0.2896453770216025,11.394022984259616,307.7679423289888,93912.0,26.962213182145877,BMB_1
